,class,samples
4863,walking,"[-21.346703 -6.213272466666666 0.914585 7.41125175 -4.587289999999999
 5.679682197542375 0.19749838629687533 -25.905262 -11.562078833333336
 7.5848309999999985 6.999449500000001 -11.8800285 7.190722678622277
 0.5213450986342858 -17.659632000000006 -2.5570073 12.77546 5.744887
 -1.4939815 7.115030338857842 0.20630802153999772]"
2086,running,"[-5.329493 5.5229446 31.747114 12.350489 4.4220904999999995
 9.470383882399501 0.09869103819364478 -12.363658 8.967243066666667
 31.349676 9.315838500000002 9.5025865 10.210758709992469
 0.02602719907557738 -7.752425 -0.29177319999999984 7.876924000000002
 5.770025500000001 -0.308852 4.022532103200308 -0.7545179770380899]"
6169,walking,"[-18.598158 -4.657041266666667 2.25055 5.388150750000001 -2.8778305
 5.510191163091834 0.20655128496560016 -23.616405 -10.038887633333337
 7.5848309999999985 6.83065775 -9.550471 6.538302438565639
 0.7375988106806655 -20.738573 -1.3389968666666663 19.685127
 5.0146560000000004 -0.8858545 7.450931715167877 2.110567946720881]"
3638,idle,"[0.023942 0.26575646666666664 0.938527 0.04070174999999998 0.251391
 0.13528826528237975 17.748304994884172 -0.201113 -0.0038307666666666683
 0.411803 0.04548975 -0.009577 0.08862562247254208 13.970545545285578
 9.701305 9.772014133333332 9.873688 0.02274475000000109 9.773131
 0.029946557053895467 3.522753809395719]"
2714,running,"[-5.602432 5.541140566666667 28.625076 10.36809075 4.371813
 8.177345551941777 0.46445579246385105 -9.92636 9.355423166666668 28.85492
 15.656881249999998 9.210494 10.753486872035198 -0.8592823185522134
 -6.402095 1.224235266666667 17.348385 5.887341500000001 1.309628
 4.646812811430282 2.6641179318606376]"
4914,walking,"[-14.69561 -4.243004166666667 2.106898 4.74650375 -3.6080620000000003
 3.8183891471529376 1.1307970824188036 -25.809494 -10.364818233333333
 7.8242509999999985 5.886145250000002 -11.2455655 6.148450991360364
 1.4358426317232027 -19.67555 -3.5612951999999996 9.198523 4.34308175
 -1.3814544999999998 6.560174237541441 0.1411575745843474]"
1076,running,"[-24.454376 -5.8375424 4.5872910000000005 9.374496500000001 -3.9240965
 6.9289072207320626 -0.06341823605555863 -12.794614 8.2735631 28.66817
 8.6358855 8.343793 9.939921034765007 -0.2764473274969439
 -8.288725999999999 1.3597471333333335 20.173544 7.13711475
 1.5203185000000001 5.828853841088279 1.804759752129077]"
3289,running,"[-6.124367 5.3001241666666665 23.060951 7.09042825 3.603274
 7.64099782005063 -0.16607754722351142 -12.89517 5.612647333333332
 27.686548 12.81855575 5.9998695 10.617811706781728 -0.5351723245929181
 -10.151415 2.5236483 13.01488 8.7053175 3.98874 5.80370245287945
 -0.8047478187688593]"
4838,walking,"[-10.596737 -3.1424695 1.857901 2.2876597500000004 -2.839523
 2.426570198598463 1.378824821551393 -20.556616 -9.930988933333335
 1.278504 6.843826 -9.8449575 5.419920978141212 -0.4611093266533439
 -15.184027 -1.4947799333333334 22.902933 4.2951975 -0.5889735
 5.978407367868062 7.452002606163939]"
2658,running,"[-8.09719 7.871815966666667 39.188293 16.308104999999998 4.7500965
 13.004543817086413 0.05834571370942143 -37.21547 7.829039666666666
 39.188293 23.94321425 6.593631499999999 17.83094704877217
 -0.07432962417803779 -8.221688 4.168464866666666 34.620155
 10.421960250000001 1.4987705 10.29928188867257 2.54135285417912]"
5515,walking,"[-11.243171 -4.514985333333333 5.544971 3.8534677499999996 -5.224148
 3.472733164347503 0.7944736280991349 -20.54704 -8.594385866666666
 9.351752 7.230488999999997 -9.9910035 6.801064022908247
 0.2855313699745947 -14.432248 0.7423622666666668 24.660278
 4.3574470000000005 -0.2561795 6.5511721672326395 4.493540250607387]"
473,running,"[-7.2544309999999985 6.097074133333334 28.146235 15.527595 4.307169
 9.658407231101796 -0.568718002310828 -9.299079 9.335631033333335
 27.571627000000003 10.5512465 8.4874455 9.720543975547166
 -0.5050002974973706 -9.112331 1.9136056666666665 29.41995 7.64827725
 1.2042834999999998 6.976465955872262 5.695783276701663]"
2130,running,"[-3.045424 4.904921333333333 32.647335 6.828263500000001 3.5984855
 6.843170581996211 6.4923417980840465 -10.261548 4.829583866666667
 20.077776 7.699752999999999 6.596025500000001 6.76365714496206
 -0.26308394181512185 -14.480132 3.7549064666666667 19.292477 10.41597525
 3.8259345 7.87011352444468 -0.23558516082457093]"
2224,running,"[-7.177817 5.106672733333332 26.977865 12.3169705 3.4476505
 9.378593383898439 0.010554158108120326 -14.255076999999998
 7.995995266666666 32.460587 15.945383499999998 7.0126165
 13.404555147260199 -0.853739892717158 -8.034939999999999
 3.066333966666667 33.930622 9.01536725 1.197101 8.320265771655544
 4.0056835227623235]"
5558,walking,"[-16.256629999999998 -3.4118970000000006 7.8817119999999985 4.0521865
 -2.9544449999999998 4.948868687449305 0.8614500882106046 -19.2829
 -8.411468966666666 10.879252 5.202600999999999 -8.3437925
 6.793786767171263 1.520689153348279 -22.658726 -0.7276776000000003
 26.958712 3.85825575 -0.5865790000000001 8.646279199727722
 3.431119465508953]"
2761,running,"[-3.533841 6.384378300000001 19.67555 6.96114125 5.62398 5.527229138602036
 -0.12852284403079928 -6.785167 9.8548536 25.953146 11.6908865
 9.457097000000001 9.180170451110914 -0.7178944715988833 -10.472239
 2.2349075333333333 16.050728 6.7779855 1.5969324999999999
 6.1923966201601175 -0.21265319383758463]"
5733,walking,"[-17.266985000000002 -4.407565600000001 6.588842999999999
 5.797558499999999 -3.303998 5.339881022956839 0.3278101110883691
 -21.327547 -10.767682500000001 4.620809 7.955932499999999 -11.8058085
 5.940816777010548 -0.0450987952224704 -23.659502 -1.1599108333333332
 31.76148 2.1440075000000003 -1.01993 7.884259735114198 9.493793783987124]"
2030,running,"[-9.753978 4.8670928 27.8302 11.722012249999999 3.689465 9.896546219134626
 -0.22073763298309768 -10.386047 9.827559733333334 37.746983 19.873071
 8.6933465 12.827375565152968 -0.7870285043230765 -9.294291
 2.0084162000000005 18.794483 8.02057625 1.0965445 6.559210707373636
 0.01678754889504308]"
2885,running,"[-4.443638 4.7840939 24.147919 8.5125845 4.288016 6.591590070910087
 0.6713170085669802 -11.654974 7.946994066666666 27.648243 12.1350105
 7.180211 11.061500190082645 -0.6583037585398523 -13.488933
 -1.1417149000000002 11.171345 6.4164604999999995 -2.0015525
 5.490743682709148 0.15867158174329976]"
1937,running,"[-35.166035 -6.661626699999999 8.652645 11.274295500000001 -4.429273
 10.086689127802211 0.8613176778842 -14.164097 9.805054133333334 29.400797
 13.866018499999997 7.5273705 11.076258021378651 -0.7202867144282719
 -14.863204 -1.3571929999999999 14.9063 10.568006500000001 -2.229002
 7.53216995867626 -0.7596894311228599]"
5689,walking,"[-7.264008 0.7865751666666667 19.206285 5.14274525 0.37110150000000003
 4.672822821509564 5.690236093088647 -28.64423 -10.477984300000003 8.2169
 7.091626249999999 -9.473856 6.858786500333078 1.263154985943454
 -24.483107 -1.3233550333333335 11.046846 6.129155999999999 -0.742202
 6.744677642828804 2.7881632151453646]"
149,running,"[-3.275268 7.592811800000001 23.247698 10.87087275 4.8051625
 8.109405646863571 -0.9044444336991648 -8.705316999999999
 9.317435066666667 29.525295 17.621324500000004 9.466674
 10.820416845034766 -0.9350542657803631 -9.548077 1.1364478666666666
 16.668432 5.90170725 0.337582 5.464739821128925 0.9790777392165042]"
5705,walking,"[-9.849746 -4.3371761 0.555455 3.989936750000001 -4.122814999999999
 2.580882699433682 -0.70615308543025 -15.710752 -6.745583366666667
 8.073248 10.425551500000001 -8.738836500000001 7.13650710993566
 -0.6829789510226889 -13.814544 -0.6579264666666668 23.582888 4.12880075
 -1.3862424999999998 5.810344506914059 8.278770516975053]"
1971,running,"[-6.0429650000000015 4.761907633333334 22.01229 8.021772249999998
 3.7828385 6.528151396013807 -0.044883826448242736 -7.862558
 9.568507033333335 33.64332 11.23359325 7.3621705 10.945976913397608
 -0.45183537480590674 -32.69043 0.4443639333333335 20.049046 6.475119
 -0.2154785 8.186614775787184 7.2475155981800015]"
1237,running,"[-4.0031050000000015 5.954699033333332 36.971264 8.129511750000002
 2.3774425 8.867465639428552 3.096941509513819 -15.38514 7.657774299999999
 33.212364 14.47773725 7.5608889999999995 10.93211780496346
 -0.30709961768632077 -5.880159 1.1222423333333333 32.398340000000005
 6.241684 -0.05746049999999997 6.75699942915267 12.463952932153378]"
3417,idle,"[0.191536 0.24101630000000002 0.287304 0.02394199999999999 0.23942
 0.023272891984953935 -0.09848644707990362 -0.095768 -0.0151633 0.09098
 0.019152999999999996 -0.019154 0.029023835218833508 5.2631650959386995
 9.715671 9.757808466666665 9.797073 0.019154000000000337 9.758766
 0.016186350957382335 0.4792882111428134]"
6260,walking,"[-6.191406 0.8215304999999998 16.874334 2.9592342499999997 0.2513915
 4.474509521995289 3.481138828613287 -22.529438 -9.724129999999999
 0.373495 10.242395 -10.4578725 6.187103993167951 -0.9935140888127005
 -15.040375 -0.7864153333333334 7.699753 7.569268749999998 -1.6615755
 4.814592206171957 0.5689427202480131]"
3476,idle,"[-0.885855 -0.032241900000000004 0.8283940000000001 0.446519 -0.026336
 0.35486337917742844 0.2320767174830034 5.473145 6.520688333333334
 7.465121000000001 0.509965000000002 6.531382 0.3939854826961974
 0.5247264605189934 6.497864 7.250121899999999 8.183380999999999
 0.5781994999999984 7.256826 0.44014656204506464 -0.5932138578162243]"
2578,running,"[-2.896984 8.345708366666667 32.953793 14.6381495 6.004658000000001
 9.771491455706249 0.27716330072657236 -10.261548 8.995973633333334
 26.953922 12.65575 8.6334915 10.346201893807098 -0.8296846102772295
 -4.7453080000000005 3.2423876 19.292477 9.631873 0.29209250000000003
 6.869629343826756 -0.24041739946218188]"
3276,running,"[-16.055517000000002 3.3711957333333333 32.111034000000004 9.46068825
 2.2960395 9.226759639086072 1.502676848825045 -13.939042
 7.424898433333334 29.640217 13.611037249999999 8.8010855
 12.216431259668136 -0.767166699317178 -14.413095000000002
 5.257507266666666 25.19179 15.677233 3.998317 9.835890237875553
 -0.7445191204722437]"
2663,running,"[-8.48984 6.794904 29.645006 11.619061000000002 3.3327285
 10.82032088858284 -0.41962287019920463 -18.607735 8.714574933333333
 35.6353 31.9649875 8.4850515 17.344247794244428 -1.2176977729386882
 -6.277597 0.7457141999999999 9.615114 7.5979995 -0.7781155
 4.605122220436995 -1.0124320926226678]"
5954,walking,"[-13.378799 -3.5418222333333333 6.9671270000000005 5.2193594999999995
 -3.8067805 4.482977924342737 0.12529746898189975 -13.819332 -7.1583438
 9.725247 6.048950500000002 -7.7620015 4.959788363679123
 2.2832893593190366 -11.377247 -0.21787216666666673 21.859062 3.90374575
 -0.593762 5.829777262302389 5.111696269937761]"
5703,walking,"[-7.958326 -1.0311027 4.788404 3.958812 -1.1133035 3.074060066445635
 -0.48193887148342984 -20.020315 -9.4797616 -1.063026 7.85058725 -8.432378
 4.842984411976383 -0.7574813000936507 -20.69069 -1.831244899999999
 8.652645 8.895656500000001 0.035913 7.347653782674555 0.19872664238378146]"
198,running,"[-7.656657000000001 4.800055333333334 23.879768 6.562507 3.6128505
 6.583942004386163 0.7429795181126146 -11.109096 6.055734166666667
 20.891804 14.070722750000002 6.706159000000001 8.653544231292129
 -0.9211694049885755 -13.977348999999998 0.6529788000000002 12.990938
 8.374918 0.06943150000000001 6.575273134075184 -0.5441691203093559]"
729,running,"[-6.746860000000002 6.456044866666668 26.355371 12.05121425 6.2895685
 8.528644775794385 -0.3866174531820974 -13.690045 8.308837666666665
 37.18674 17.49922 7.247248999999999 12.665990622112728
 -0.39638242145786773 -8.303091 0.20957263333333337 11.372458
 7.223306000000001 -0.6967125000000001 4.898276840597106
 -0.5921071511390581]"
4777,walking,"[-9.212888 -2.425166566666666 5.932832 4.252101749999999 -2.3535005
 3.534104439774643 0.21340188602260435 -15.160085 -7.024427966666666
 6.770803 7.693767500000002 -8.176198 5.2766530292921825
 0.0330205681723581 -13.575124 0.30725583333333334 34.261024 4.35265875
 -0.6991069999999999 7.778215305514593 9.711518440445067]"
378,running,"[-11.654974 5.036442833333334 17.362753 12.77306575 4.5585605000000005
 7.731724412214846 -0.9076925401523996 -11.860875 6.774633233333334
 24.123976000000006 11.613075749999998 6.4020955 9.749394273467118
 -0.5058332311298579 -6.665457000000001 0.8682972333333333 9.552865
 6.52898825 0.122104 4.466867958428267 -0.6572265322294641]"
6060,walking,"[-19.962854 -4.0963194 2.116475 4.1419685 -2.7078420000000003
 4.256547288801936 4.262758038499589 -27.552473 -9.629957933333335
 5.755661 5.55814 -10.2711255 5.7378390230407 2.3242559907424676
 -10.673351 0.13646963333333317 31.636982 3.6954504999999997
 -0.8020575000000001 7.296299015730411 9.113125610609002]"
